,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
0,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,1051.0,1119.0,1113.0,1240.0,1307.0,1465.0,1512.0,1788.0,1908.0,2011.0,2318,2386,2516,2535,2401,2516,2450,2543,2456,2456,2456,2456,2456,2456,2456,2456
1,Albania,2155.0,2444.0,2615.0,2689.0,2783.0,2770.0,2927.0,2917.0,2922.0,3246.0,2976.0,2229.0,2128.0,2403.0,2701.0,3022.0,3378.0,3080.0,3411.0,3930.0,4326.0,4835.0,5149.0,5561.0,6051.0,6619.0,7272.0,7975.0,8805.0,9221.0,9726.0,10208.0,10526,10571,11259,11662,12078,13040,13895,14448,14128,15995,17858,19010,20091,21188,22401,23697
2,Algeria,4808.0,5257.0,5755.0,6103.0,6469.0,6722.0,6664.0,6607.0,6515.0,6923.0,7146.0,7123.0,7225.0,7073.0,7002.0,7275.0,7553.0,7640.0,7993.0,8237.0,8588.0,8914.0,9420.0,10146.0,10705.0,11518.0,11894.0,12438.0,12701.0,12741.0,13097.0,13480.0,13264,13003,12940,11945,11543,11644,11822,11917,11335,12051,13324,13958,14332,14665,15016,15352
3,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50888.0,52326.0,51193,50930,52686,52748,55695,56352,57551,58708,52452,58383,65372,67735,69463,70859,72032,73103
4,Angola,1222.0,1245.0,1288.0,1359.0,1454.0,1378.0,1406.0,1463.0,1565.0,1583.0,1545.0,1738.0,1922.0,2120.0,2323.0,2542.0,2794.0,2960.0,3043.0,3061.0,3132.0,3240.0,3632.0,3703.0,4096.0,4718.0,5267.0,5987.0,6586.0,6490.0,6687.0,6857.0,7624,7948,8508,7669,7449,7676,7524,7383,6837,6970,7455,7753,7983,8212,8458,8699
5,Antigua and Barbuda,3997.0,4578.0,4913.0,5458.0,6332.0,7151.0,8277.0,9203.0,10176.0,11233.0,12016.0,12590.0,12816.0,13507.0,14345.0,13639.0,14406.0,15031.0,15496.0,15904.0,16915.0,16233.0,16488.0,17666.0,18996.0,20649.0,23739.0,26364.0,26565.0,23266.0,21444.0,21224.0,20414,19532,19714,19498,20431,20231,21807,22929,18247,19716,22070,23807,25275,26427,27301,28209
6,Argentina,6173.0,6256.0,6327.0,6725.0,6988.0,6595.0,7117.0,7394.0,7414.0,7077.0,7095.0,7996.0,8899.0,9538.0,10179.0,9973.0,10590.0,11512.0,11956.0,11587.0,11633.0,11257.0,10089.0,11105.0,12303.0,13681.0,15090.0,16728.0,17567.0,16472.0,18064.0,19322.0,19641,20132,19684,20105,20308,23597,23291,23003,20758,23632,26074,27277,28130,28937,29780,30656
7,Armenia,,,,,,,,,,,,,1625.0,1463.0,1614.0,1819.0,1978.0,2100.0,2279.0,2400.0,2606.0,2936.0,3435.0,4008.0,4562.0,5404.0,6328.0,7417.0,8111.0,7032.0,7282.0,7778.0,9094,9564,9792,9753,10502,11974,12946,14213,13323,14661,16798,18008,19193,20428,21752,23169
8,Aruba,,,,,,,12182.0,14655.0,17898.0,20427.0,21195.0,22792.0,23842.0,24527.0,25741.0,26192.0,25961.0,27188.0,27359.0,27746.0,30242.0,31917.0,31886.0,32505.0,35055.0,35095.0,35934.0,37763.0,38896.0,34340.0,33713.0,35248.0,33967,35954,35736,36078,36250,37690,40555,41435,34335,41745,46309,48714,50138,51483,52937,54450
9,Australia,10498.0,11777.0,12308.0,12569.0,13678.0,14671.0,15107.0,15985.0,16950.0,18159.0,18860.0,19071.0,19803.0,20877.0,22138.0,22980.0,24065.0,25358.0,26555.0,27783.0,28953.0,30010.0,31394.0,32610.0,34481.0,36149.0,37649.0,39609.0,40517.0,40814.0,41727.0,43118.0,42903,46522,46988,46342,48053,49657,51446,52618,51886,56412,62192,64848,66536,68281,70236,72358
