"","Country","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989"
0,"Afghanistan","","","","","","","","","",""
1,"Albania",2155.0,2444.0,2615.0,2689.0,2783.0,2770.0,2927.0,2917.0,2922.0,3246.0
2,"Algeria",4808.0,5257.0,5755.0,6103.0,6469.0,6722.0,6664.0,6607.0,6515.0,6923.0
3,"Andorra","","","","","","","","","",""
4,"Angola",1222.0,1245.0,1288.0,1359.0,1454.0,1378.0,1406.0,1463.0,1565.0,1583.0
5,"Antigua and Barbuda",3997.0,4578.0,4913.0,5458.0,6332.0,7151.0,8277.0,9203.0,10176.0,11233.0
6,"Argentina",6173.0,6256.0,6327.0,6725.0,6988.0,6595.0,7117.0,7394.0,7414.0,7077.0
7,"Armenia","","","","","","","","","",""
8,"Aruba","","","","","","",12182.0,14655.0,17898.0,20427.0
9,"Australia",10498.0,11777.0,12308.0,12569.0,13678.0,14671.0,15107.0,15985.0,16950.0,18159.0
10,"Austria",11227.0,12252.0,13241.0,14187.0,14746.0,15543.0,16211.0,16868.0,17608.0,18965.0
11,"Azerbaijan","","","","","","","","","",""
12,"Bahamas",12572.0,13112.0,14462.0,15692.0,16285.0,17262.0,17762.0,18560.0,19247.0,20117.0
13,"Bahrain",20779.0,22479.0,24507.0,26350.0,27517.0,27186.0,26918.0,26308.0,27855.0,28224.0
14,"Bangladesh",633.0,713.0,761.0,806.0,847.0,884.0,913.0,938.0,969.0,1024.0
15,"Barbados",6000.0,6421.0,6464.0,6733.0,7208.0,7496.0,8012.0,8395.0,8963.0,9615.0
16,"Belarus","","","","","","","","","",""
17,"Belgium",10769.0,11745.0,12556.0,13084.0,13898.0,14567.0,15129.0,15852.0,17167.0,18362.0
18,"Belize",1776.0,1944.0,1874.0,2009.0,2256.0,2232.0,2374.0,2892.0,3254.0,3805.0
19,"Benin",985.0,1062.0,1112.0,1097.0,1106.0,1153.0,1171.0,1139.0,1182.0,1159.0
20,"Bhutan",475.0,575.0,644.0,703.0,764.0,800.0,854.0,1016.0,1173.0,1263.0
21,"Bolivia",2070.0,2099.0,2097.0,2048.0,2075.0,2062.0,2007.0,2064.0,2154.0,2276.0
22,"Bosnia and Herzegovina","","","","","","","","","",""
23,"Botswana",2283.0,2653.0,3148.0,3496.0,3720.0,3986.0,4260.0,4838.0,5963.0,6259.0
24,"Brazil",4812.0,4925.0,5147.0,5057.0,5403.0,5891.0,6334.0,6596.0,6722.0,7083.0
25,"Brunei","","","","","",55628.0,54133.0,54772.0,55520.0,55942.0
26,"Bulgaria",5356.0,6155.0,6790.0,7250.0,7843.0,8231.0,8844.0,9502.0,10100.0,10489.0
27,"Burkina Faso",376.0,412.0,433.0,434.0,445.0,498.0,534.0,532.0,568.0,587.0
28,"Burundi",314.0,374.0,382.0,400.0,403.0,452.0,462.0,486.0,513.0,525.0
29,"Cape Verde",782.0,914.0,980.0,1092.0,1150.0,1262.0,1297.0,1358.0,1459.0,1569.0
30,"Cambodia","","","","","","","",515.0,568.0,592.0
31,"Cameroon",1263.0,1572.0,1747.0,1887.0,2047.0,2223.0,2357.0,2298.0,2129.0,2110.0
32,"Canada",11798.0,13197.0,13405.0,14150.0,15380.0,16466.0,16990.0,17893.0,19085.0,19948.0
