"","Country (or dependent territory)","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
0,"Afghanistan","1908","2011",2318,2386,2516,2535,2401,2516,2450,2543
1,"Albania","9726","10208",10526,10571,11259,11662,12078,13040,13895,14448
2,"Algeria","13097","13480",13264,13003,12940,11945,11543,11644,11822,11917
3,"Andorra","50888","52326",51193,50930,52686,52748,55695,56352,57551,58708
4,"Angola","6687","6857",7624,7948,8508,7669,7449,7676,7524,7383
5,"Antigua and Barbuda","21444","21224",20414,19532,19714,19498,20431,20231,21807,22929
6,"Argentina","18064","19322",19641,20132,19684,20105,20308,23597,23291,23003
7,"Armenia","7282","7778",9094,9564,9792,9753,10502,11974,12946,14213
8,"Aruba","33713","35248",33967,35954,35736,36078,36250,37690,40555,41435
9,"Australia","41727","43118",42903,46522,46988,46342,48053,49657,51446,52618
10,"Austria","42466","44469",46478,47937,48814,49955,52660,54394,56637,58680
11,"Azerbaijan","15022","14905",16063,17300,17551,15026,14448,14185,14610,15113
12,"Bahamas","31673","32170",33252,32836,34314,34785,34775,36815,37961,38938
13,"Bahrain","47117","50673",54489,54035,51938,45627,44834,47486,49581,52234
14,"Bangladesh","3144","3378",3759,3993,4293,4564,4887,5227,5699,6061
15,"Barbados","16278","16444",15425,15433,15252,15571,15997,15818,16060,16096
16,"Belarus","15355","16545",18097,18997,19017,18111,17787,18335,19407,20080
17,"Belgium","40162","41082",42409,43755,45043,46365,48680,50727,52678,54481
18,"Belize","9557","9491",9004,9207,9080,9055,8784,8487,8544,8812
19,"Benin","2364","2416",2498,2670,2833,2887,3005,3045,3235,3422
20,"Bhutan","6268","6943",7600,7894,8382,9239,10068,10852,11476,12148
21,"Bolivia","5177","5473",5937,6645,7081,7160,7528,8456,8896,9127
22,"Bosnia and Herzegovina","9566","9971",10292,11038,11268,11710,12604,13240,14096,14775
23,"Botswana","13047","14029",13144,14086,15518,14588,16639,15965,16661,17097
24,"Brazil","14361","15110",15120,15669,15800,14816,14326,14597,15089,15424
25,"Brunei","80669","84001",88312,84019,81806,62922,56638,60282,59953,61028
26,"Bulgaria","14794","15792",16376,16692,17670,18459,20146,21617,22890,24409
27,"Burkina Faso","1502","1587",1619,1683,1692,1714,1895,2044,2171,2270
28,"Burundi","656","675",685,735,772,838,794,771,778,783
29,"Cape Verde","5583","5859",5720,5700,5659,5902,6224,6535,7703,8187
30,"Cambodia","2438","2636",2912,3110,3272,3501,3817,4101,4467,4834
31,"Cameroon","2814","2892",2959,3130,3313,3396,3527,3665,3803,3901
32,"Canada","40018","41716",42351,44360,45812,44703,46554,48688,50532,51653
33,"Central African Republic","967","1013",1102,738,720,787,851,913,956,985
34,"Chad","1821","1800",1736,1574,1684,1820,1682,1600,1627,1662
35,"Chile","18858","20224",21455,22300,22651,22552,22650,23656,24732,24917
36,"China","9160","10181",11137,11905,12496,12926,13432,14152,15410,16564
37,"Colombia","11009","11893",12306,13025,13627,13611,14352,14764,15235,15633
38,"Comoros","2261","2341",2510,2628,2701,2684,2826,2980,3078,3105
39,"Democratic Republic of the Congo","621","656",657,741,837,893,951,1047,1098,1130
40,"Republic of the Congo","6252","6364",7437,7123,6959,5445,4484,4987,4740,4687
41,"Costa Rica","12932","13606",14368,15035,16077,17080,18503,19712,20480,21127
42,"Ivory Coast","3489","3303",3563,3834,4237,4558,4629,4730,5045,5317
43,"Croatia","20536","21013",21395,22080,22327,23305,25211,27129,28842,30552
44,"Cyprus","33765","33755",31906,30237,29887,31848,35852,38516,41227,43593
45,"Czech Republic","28010","29027",29270,30813,32542,33933,36137,39031,41129,42972
46,"Denmark","43204","44483",44893,46829,48040,49265,52160,55673,57812,59469
47,"Djibouti","3589","3869",3958,4104,4289,4563,4695,4905,5181,5482
48,"Dominica","10038","10336",10158,10344,11015,11140,11962,11666,12361,12775
49,"Dominican Republic","11672","12158",12208,12818,13859,15186,16626,17301,18773,19896
50,"Ecuador","9091","9843",10280,11106,11658,11015,11009,11624,11880,11923
51,"Egypt","10531","10694",11620,11726,11498,12268,12072,11756,12390,13063
52,"El Salvador","6128","6466",6541,6877,7233,7598,8039,8454,8820,9149
53,"Equatorial Guinea","32711","34024",37303,34531,33483,23903,20353,22450,20795,19327
54,"Eritrea","1284","1625",1669,1507,1992,1589,1701,1537,1759,1835
55,"Estonia","22360","24557",25996,27465,28928,29184,31310,33903,35901,37770
56,"Eswatini","7951","8239",8450,8901,8997,9024,8932,8651,8978,9294
57,"Ethiopia","1085","1214",1315,1408,1681,1862,2134,2321,2520,2752
58,"Fiji","8679","9056",9660,10379,11358,12401,12563,13317,14076,14166
59,"Finland","39357","41016",40969,41587,41836,42570,44995,47622,49227,50677
60,"France","37358","38790",39037,40952,41576,42289,44422,46370,48190,49782
61,"Gabon","14967","15763",15487,15235,15500,14834,14490,15303,15586,16267
62,"Gambia","2435","2216",2200,2121,2027,2067,2069,2073,2210,2319
63,"Georgia","7542","8322",9799,10610,11583,12100,12855,13596,14582,15608
64,"Germany","40101","42541",43359,44994,47011,47622,50574,53374,55021,56468
65,"Ghana","4071","4623",5152,5321,5595,5233,5021,5148,5481,5822
66,"Greece","27954","25629",24818,25896,26541,26676,27489,28518,29761,30888
67,"Grenada","10865","11117",11164,11887,13042,14152,15026,16218,17240,17580
68,"Guatemala","6511","6794",7018,7183,7458,7849,7847,7912,8210,8519
69,"Guinea","1550","1628",1615,1680,1671,1685,1928,2250,2390,2507
70,"Guinea-Bissau","1469","1586",1513,1530,1576,1874,1976,2253,2343,2438
71,"Guyana","8357","8958",10444,10998,10943,11205,11268,11965,12723,13603
72,"Haiti","2619","2765",2719,2902,2911,2841,3018,3080,3159,3116
73,"Honduras","3779","3928",4033,4142,4453,4823,5146,5558,5807,5963
74,"Hong Kong","48996","51999",52082,53454,54605,56267,56903,59668,62221,61999
75,"Hungary","22010","22967",23179,24459,25615,26749,27899,29838,32254,34344
76,"Iceland","39548","41009",42154,44673,46239,49471,53943,56945,59383,60424
77,"India","4182","4494",4861,5057,5234,5465,5840,6183,6670,6972
78,"Indonesia","8657","9213",9834,10188,10399,10359,10619,11074,11798,12482
79,"Iran","18649","19283",17041,16238,16106,14328,15282,15806,15690,15295
80,"Iraq","12217","13075",14843,15414,14027,10494,9597,10916,11401,11968
81,"Ireland","43919","45041",46335,47773,51032,68918,71291,78002,85607,90697
82,"Israel","29469","31173",32336,34755,34756,35877,38230,39534,41320,42977
83,"Italy","35416","36251",36143,36289,36461,37176,40231,42112,43610,44703
84,"Jamaica","8263","8531",8586,8895,9047,9347,9818,10287,10705,10990
85,"Japan","35535","36215",37629,39437,39604,40959,40641,41409,42755,43459
86,"Jordan","9461","9403",9189,9322,9181,9465,9446,10003,10252,10496
87,"Kazakhstan","19071","20634",21878,24326,24546,23057,23654,24699,25985,27290
88,"Kenya","2839","2977",3107,3406,3698,4072,4353,4650,4912,5134
89,"Kiribati","1537","1569",1655,1729,1718,1880,1863,1867,1983,1977
90,"South Korea","30988","32547",33557,34244,35325,37908,39567,41001,43014,44611
91,"Kosovo","7234","7829",8002,8372,8687,9445,9974,10393,11021,11841
92,"Kuwait","61770","66970",72736,70727,64038,43308,40844,46480,46813,45852
93,"Kyrgyzstan","3103","3320",3654,4083,4326,4259,4728,5094,5296,5522
94,"Laos","3918","4252",4842,5289,5874,6168,6844,7255,7774,8157
95,"Latvia","17858","19110",21181,22514,23724,24872,26591,28571,30669,32233
96,"Lebanon","14963","14669",14813,14967,15017,15065,15462,15954,15933,15105
97,"Lesotho","2268","2416",2454,2749,2992,3211,3101,2753,2792,2823
98,"Liberia","1002","1067",1154,1329,1358,1257,1370,1532,1550,1501
99,"Libya","32515","16811",27459,23055,20274,21710,21521,23949,26207,23455
100,"Lithuania","20670","22885",24704,26722,28184,28842,30922,33827,36363,38809
101,"Luxembourg","94559","95683",97749,102120,106564,109154,114498,116621,119507,123206
102,"Macau","97052","119403",129876,145947,141807,108260,109178,120249,128272,125002
103,"Madagascar","1602","1613",1591,1592,1609,1595,1652,1625,1667,1715
104,"Malawi","1331","1385",1348,1445,1406,1333,1347,1357,1410,1471
105,"Malaysia","20526","21702",22963,23225,24273,24074,24780,25897,27491,29092
106,"Maldives","14528","15835",16436,18250,20338,21931,23410,24927,27141,29040
107,"Mali","1787","1827",1764,1813,1915,2033,2189,2247,2338,2420
108,"Malta","28405","29063",30424,32560,34755,37922,40137,44884,47211,49058
109,"Marshall Islands","2961","2990",2968,3126,3140,3209,3275,3434,3610,3911
110,"Mauritania","4549","4716",4755,5099,4662,4586,5159,5636,5912,6206
111,"Mauritius","15700","16653",16964,17866,18484,19226,20701,21415,22733,23839
112,"Mexico","15879","16567",17213,17429,18120,18382,19422,19934,20644,20764
113,"Federated States of Micronesia","2879","3027",3021,2955,2936,3097,3151,3291,3371,3466
114,"Moldova","6370","6882",7329,8345,8789,9222,10527,11362,12330,13238
115,"Mongolia","7470","8782",10074,10375,10850,10442,10519,11137,12056,12730
116,"Montenegro","13753","14472",13864,14870,15371,16336,18198,19703,21205,22469
117,"Morocco","6990","7418",7421,7674,7352,7905,7944,8193,8556,8868
118,"Mozambique","959","1023",1036,1085,1139,1291,1364,1284,1324,1339
