"","Country (or dependent territory)","2020","2021","2022","2023","2024","2025","2026","2027"
0,"Afghanistan",2456,2456,2456,2456,2456,2456,2456,2456
1,"Albania",14128,15995,17858,19010,20091,21188,22401,23697
2,"Algeria",11335,12051,13324,13958,14332,14665,15016,15352
3,"Andorra",52452,58383,65372,67735,69463,70859,72032,73103
4,"Angola",6837,6970,7455,7753,7983,8212,8458,8699
5,"Antigua and Barbuda",18247,19716,22070,23807,25275,26427,27301,28209
6,"Argentina",20758,23632,26074,27277,28130,28937,29780,30656
7,"Armenia",13323,14661,16798,18008,19193,20428,21752,23169
8,"Aruba",34335,41745,46309,48714,50138,51483,52937,54450
9,"Australia",51886,56412,62192,64848,66536,68281,70236,72358
10,"Austria",55125,59759,66680,69399,71843,74124,76438,78847
11,"Azerbaijan",14528,15900,17448,18310,18938,19534,20158,20812
12,"Bahamas",29688,34776,39785,42417,44114,45280,46341,47416
13,"Bahrain",50648,53384,57921,60533,62378,64139,65989,67925
14,"Bangladesh",6390,7044,7985,8679,9405,10163,10975,11848
15,"Barbados",14018,14666,17314,18780,19699,20534,21353,22110
16,"Belarus",20226,21690,21709,22644,23478,24227,24929,25732
17,"Belgium",51703,57055,62065,64125,66337,68219,70141,72112
18,"Belize",7461,8858,9623,9963,10174,10364,10562,10768
19,"Benin",3499,3798,4183,4476,4712,4949,5201,5465
20,"Bhutan",11888,11855,13077,13989,14862,15888,16976,18130
21,"Bolivia",8314,9056,9933,10468,10865,11230,11569,11911
22,"Bosnia and Herzegovina",14504,16274,17899,18957,19987,21030,22130,23303
23,"Botswana",15471,17579,19199,20257,21063,21849,22677,23547
24,"Brazil",14890,16161,17684,18396,19035,19673,20335,20824
25,"Brunei",63276,68417,74196,79409,83693,88002,91921,96928
26,"Bulgaria",23739,26051,29178,31303,33455,35259,37159,39189
27,"Burkina Faso",2276,2463,2656,2802,2924,3044,3174,3310
28,"Burundi",772,805,865,905,941,978,1014,1049
29,"Cape Verde",6978,7685,8460,9069,9672,10271,10861,11433
30,"Cambodia",4716,5009,5583,6081,6551,7032,7557,8130
31,"Cameroon",3870,4073,4419,4669,4871,5084,5308,5543
32,"Canada",48947,52973,57827,59872,61275,63043,64649,66222
33,"Central African Republic",989,1021,1088,1138,1181,1222,1265,1309
34,"Chad",1598,1598,1719,1789,1836,1882,1932,1984
35,"Chile",23260,26709,28887,29351,30280,31278,32338,33492
36,"China",17115,19260,21291,23038,24599,26248,28022,29944
37,"Colombia",14421,16403,18693,19573,20332,21168,22079,23035
38,"Comoros",3049,3162,3364,3473,3552,3635,3725,3817
39,"Democratic Republic of the Congo",1126,1206,1328,1421,1503,1588,1675,1757
40,"Republic of the Congo",4251,4295,4682,4948,5289,5337,5322,5470
41,"Costa Rica",20303,22562,24837,26201,27290,28409,29617,30858
42,"Ivory Coast",5347,5808,6397,6874,7291,7702,8116,8548
43,"Croatia",28534,32879,37550,40485,42796,44811,46757,48707
44,"Cyprus",41348,45065,49504,52057,54070,56084,58273,60684
45,"Czech Republic",40927,44951,48919,51329,54374,57238,59973,62682
46,"Denmark",58816,64046,69845,72167,74792,77255,79836,82529
47,"Djibouti",5533,5954,6514,6990,7469,7962,8498,9076
48,"Dominica",10615,11532,13030,14089,14971,15793,16410,17065
49,"Dominican Republic",18620,21583,24120,25874,27497,29154,30923,32810
50,"Ecuador",10973,11748,12763,13383,13850,14301,14773,15266
51,"Egypt",13450,14256,15959,16913,17806,18775,19842,20989
52,"El Salvador",8460,9668,10576,11089,11440,11803,12203,12621
53,"Equatorial Guinea",18115,17687,19433,18917,16449,15865,14976,14691
54,"Eritrea",1822,1923,2078,2175,2243,2308,2377,2448
55,"Estonia",37939,42637,46126,48644,51582,54476,57403,60515
56,"Eswatini",9161,10185,11054,11529,11893,12256,12647,13054
57,"Ethiopia",2908,3137,3434,3685,3933,4211,4518,4850
58,"Fiji",11834,11631,13944,15345,16461,17567,18577,19500
59,"Finland",50079,53654,58659,61009,62977,65006,67167,69441
