Country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"30823,482503317","32222,6581717097","32986,5418811497","34336,5539640921","35984,8294174309","35780,7228338246","35125,9271123376","36479,9418385732","36105,2601768456","35495,2485725969","37241,0304977201","38123,3423828494","37309,7879457867","37353,5586833002","39713,8466703421","39166,1337914332","39146,9093433145","39866,7155996626","40096,781454969","34978,0091392753","33639,3961838994","34446,8568911293","33815,1093359046","35720,6981109098","35467,2357639234","36490,5244570947","37043,6981523794","38865,188195117","40706,7495100548","40780,5165685541","33155,2430887303","38866,333281551"
Africa Eastern and Southern,AFE,"3036,3327195027","2954,6981441022","2823,0578588589","2737,031147583","2714,5019837097","2763,5652510064","2837,699057983","2885,4969757477","2867,0974619804","2872,6972731105","2896,1705942143","2927,0901329455","2964,9818391844","2984,8852148049","3074,4559110696","3184,1712072887","3309,1822602911","3439,4208397769","3500,3456315317","3429,7800472708","3513,4934853187","3558,4624828336","3543,8290301215","3593,3970198758","3643,0143981632","3658,7187763442","3654,7735968858","3659,3611464577","3661,7691716384","3648,7087616859","3455,516252298","3517,7669657202"
Afghanistan,AFG,,,,,,,,,,,,,"1280,4631706578","1292,3334372294","1260,0605805198","1352,3206265475","1366,9931457809","1528,3445777794","1556,844451545","1823,7426144851","2026,16381798","1961,0963165574","2122,8307587068","2165,3409147556","2144,4496335206","2108,7141728119","2101,4221865481","2096,0931105534","2060,698972928","2079,9218609882","1968,3410015212","1516,3056669773"
Africa Western and Central,AFW,"2784,0352431484","2746,636946095","2739,7161142909","2640,6579529204","2571,0059653212","2557,3573607775","2607,6416357901","2649,4755442853","2671,4933315567","2644,5244141592","2666,6317847812","2729,4872903105","2903,4514539612","2978,4394334274","3123,9901061048","3213,4645354923","3292,6618363657","3375,2415930824","3487,0923693521","3594,9337298403","3732,6264449439","3807,2519651965","3897,0753313943","4021,2447986223","4141,7656634688","4143,1209639901","4050,2959483252","4045,3032628276","4063,4643592382","4092,0286433865","3957,7556944882","4013,718352332"
Angola,AGO,"5768,5646118268","5635,1664525752","5136,5503790361","3783,1143671035","3713,1032564413","4131,8827245669","4537,8591189078","4708,2792981125","4770,1426089608","4719,449116336","4708,3609767486","4747,8277448761","5219,6339755317","5195,3073103811","5565,580839962","6178,3271120685","6648,75848147","7309,3198642842","7832,8898093363","7613,7811672769","7691,1312649214","7664,4399752273","8012,1008453778","8100,3851544973","8183,6783713638","7967,1038707092","7488,1388371582","7216,06137267","6878,5934816417","6602,4236571455","6032,2749135207","5908,5700447499"
Albania,ALB,"4827,9054317375","3497,0053911907","3265,4144182603","3599,4646594183","3922,3280603519","4472,414799532","4909,8250118748","4401,1128885049","4819,9441116481","5475,8454380855","5893,6536737567","6442,6119829509","6755,1092880616","7155,2962522105","7581,5064532865","8041,5433520042","8570,1078031248","9151,7806397752","9913,9508540838","10315,7771482284","10751,4210646263","11054,7877259167","11229,9920512865","11363,3183747431","11588,924344589","11880,597527781","12294,0771576455","12773,2683951538","13319,4949483894","13655,664845268","13256,1245414387","14518,906549885"
Arab World,ARB,"9530,5027522152","9569,2154376498","9789,4054436345","9783,7469170942","9796,2446884523","9821,0279054465","10031,4232187652","10230,8114197855","10516,8246663472","10481,475296829","10902,0522631705","10844,3908912012","10667,5780852193","10952,037848256","11631,3971997302","11988,0806442416","12365,7648552259","12589,3053852102","12940,6771990107","12668,3813137783","12935,1965673859","13064,6988412775","13520,2293222164","13563,2600989237","13673,8568022631","13923,9286658077","14134,9326979364","14052,5469127783","14125,7913610444","14042,271226781","13192,8521406989","13469,7605683919"
United Arab Emirates,ARE,"105893,62605787","101048,696238225","99106,7916389224","95524,4569248506","97475,9808529516","99510,3506792656","99602,6174171953","100956,706465329","95185,3058211132","92368,8132644078","96835,8888255192","93106,202133982","90661,7251504937","93989,9598462678","98342,2366272015","96188,1280050721","92323,5627769205","79468,9954677141","68909,6102618585","57094,7861472593","54664,6117411199","57815,1702552533","59949,2445755139","62354,8232015733","64334,0915515339","68076,6358921929","71244,585812911","71182,3707145056","71550,5543294766","71782,1538368191","67668,2866393681","69733,7937755244"
Argentina,ARG,"14136,5254005803","15209,4876309646","16190,510705998","17282,9649904397","18046,8929182229","17303,9238485647","18031,5481912295","19261,8986222468","19773,1763655293","18884,9431117375","18524,8096075258","17514,5041008813","15439,7446333669","16631,5739769268","17950,1512818383","19338,1461909357","20679,243097676","22316,2555259104","22992,390179143","21413,2831164661","23521,2701750961","24647,6292739541","24118,8675158912","24424,1364465071","23550,0990599374","23933,8866120953","23189,5274451329","23597,117752839","22747,2416575831","22071,7480998394","19685,215869505","21527,1961367015"
Armenia,ARM,"5153,2982105076","4473,5190883177","2634,9631244839","2484,5523293397","2683,6375333736","2912,7810569807","3105,9527807444","3236,0605083241","3505,368402348","3660,034119553","3921,857521876","4346,9075055967","4965,2243590476","5698,7784765625","6334,8561531093","7259,2038923542","8273,7856997296","9476,4714935995","10201,5594510386","8819,6774594063","9068,7876513901","9551,1581308567","10289,9756312671","10677,3036548195","11105,5324996261","11506,0389896756","11580,3836431751","12509,6396064818","13231,4310690444","14317,5528692827","13357,697063743","14193,1168341231"
